model,file,A_structure,B_snapshot_constraint,C_actionability,D_completeness,E_drift_failure
anthropic_claude-sonnet-4.5_extended-thinking,q4_long_implicit.pdf,0,0,0,0,1
anthropic_claude-sonnet-4.5_extended-thinking,q3_baseline_explicit.pdf,0,0,1,0,1
anthropic_claude-sonnet-4.5_extended-thinking,q3_weak_explicit.pdf,0,1,0,0,1
anthropic_claude-sonnet-4.5_extended-thinking,q4_conflict_implicit.pdf,0,0,0,0,1
anthropic_claude-sonnet-4.5_extended-thinking,q4_baseline_implicit.pdf,0,1,0,0,1
anthropic_claude-sonnet-4.5_extended-thinking,q3_long_implicit.pdf,0,0,0,0,1
anthropic_claude-sonnet-4.5_extended-thinking,q3_conflict_explicit.pdf,0,0,0,0,1
anthropic_claude-sonnet-4.5_extended-thinking,q4_weak_explicit.pdf,0,1,0,0,1
anthropic_claude-sonnet-4.5_extended-thinking,q3_weak_implicit.pdf,0,0,0,0,1
anthropic_claude-sonnet-4.5_extended-thinking,q4_conflict_explicit.pdf,0,0,0,0,1
anthropic_claude-sonnet-4.5_extended-thinking,q3_baseline_implicit.pdf,0,0,0,0,1
anthropic_claude-sonnet-4.5_extended-thinking,q4_long_explicit.pdf,0,0,0,0,1
anthropic_claude-sonnet-4.5_extended-thinking,q3_conflict_implicit.pdf,0,0,0,0,1
anthropic_claude-sonnet-4.5_extended-thinking,q4_weak_implicit.pdf,0,0,0,0,1
anthropic_claude-sonnet-4.5_extended-thinking,q3_long_explicit.pdf,0,0,1,0,1
anthropic_claude-sonnet-4.5_extended-thinking,q4_baseline_explicit.pdf,0,1,0,0,1
google_gemini-3-pro,q4_long_implicit.pdf,0,0,1,0,1
google_gemini-3-pro,q3_baseline_explicit.pdf,0,0,1,0,1
google_gemini-3-pro,q3_weak_explicit.pdf,0,0,1,0,1
google_gemini-3-pro,q4_conflict_implicit.pdf,0,0,1,0,1
google_gemini-3-pro,q4_baseline_implicit.pdf,0,0,1,0,1
google_gemini-3-pro,q3_long_implicit.pdf,0,0,0,0,1
google_gemini-3-pro,q3_conflict_explicit.pdf,0,0,1,0,1
google_gemini-3-pro,q4_weak_explicit.pdf,0,1,0,0,1
google_gemini-3-pro,q3_weak_implicit.pdf,0,0,0,0,1
google_gemini-3-pro,q4_conflict_explicit.pdf,0,0,0,0,1
google_gemini-3-pro,q3_baseline_implicit.pdf,0,0,1,0,0
google_gemini-3-pro,q4_long_explicit.pdf,0,0,0,0,1
google_gemini-3-pro,q3_conflict_implicit.pdf,0,0,1,0,1
google_gemini-3-pro,q4_weak_implicit.pdf,0,0,1,0,1
google_gemini-3-pro,q3_long_explicit.pdf,0,0,1,0,1
google_gemini-3-pro,q4_baseline_explicit.pdf,0,0,1,0,1
openai_gpt-5.2_extended-thinking,q4_long_implicit.pdf,0,0,1,0,1
openai_gpt-5.2_extended-thinking,q3_baseline_explicit.pdf,0,0,0,0,1
openai_gpt-5.2_extended-thinking,q3_weak_explicit.pdf,0,0,1,0,1
openai_gpt-5.2_extended-thinking,q4_conflict_implicit.pdf,0,0,1,0,1
openai_gpt-5.2_extended-thinking,q4_baseline_implicit.pdf,0,0,0,0,1
openai_gpt-5.2_extended-thinking,q3_long_implicit.pdf,0,0,0,0,1
openai_gpt-5.2_extended-thinking,q3_conflict_explicit.pdf,0,0,1,0,1
openai_gpt-5.2_extended-thinking,q4_weak_explicit.pdf,0,0,1,0,1
openai_gpt-5.2_extended-thinking,q3_weak_implicit.pdf,0,0,0,0,1
openai_gpt-5.2_extended-thinking,q4_conflict_explicit.pdf,0,0,1,0,1
openai_gpt-5.2_extended-thinking,q3_baseline_implicit.pdf,0,0,1,0,1
openai_gpt-5.2_extended-thinking,q4_long_explicit.pdf,0,0,1,0,1
openai_gpt-5.2_extended-thinking,q3_conflict_implicit.pdf,0,0,1,0,1
openai_gpt-5.2_extended-thinking,q4_weak_implicit.pdf,0,0,1,0,1
openai_gpt-5.2_extended-thinking,q3_long_explicit.pdf,0,0,1,0,1
openai_gpt-5.2_extended-thinking,q4_baseline_explicit.pdf,0,0,1,0,1
