judge_version,generator_model,question_id,prompt_variant,trigger_type,n,A_structure,B_snapshot_constraint,C_actionability,D_completeness,E_drift_failure,total
v0_baseline_judge,chatgpt,q4,conflict,explicit,2,2.0,2.0,2.0,2.0,1.5,9.5
v0_baseline_judge,claude,q3,weak,explicit,2,2.0,1.5,2.0,1.5,2.0,9.0
v0_baseline_judge,chatgpt,q4,baseline,explicit,2,2.0,2.0,2.0,2.0,1.5,9.5
v0_baseline_judge,gemini,q3,conflict,explicit,2,2.0,1.5,2.0,2.0,2.0,9.5
v0_baseline_judge,claude,q3,conflict,explicit,2,2.0,1.5,2.0,1.5,2.0,9.0
v0_baseline_judge,chatgpt,q4,long,explicit,2,2.0,1.5,2.0,2.0,2.0,9.5
v0_baseline_judge,chatgpt,q3,long,implicit,2,2.0,2.0,2.0,2.0,2.0,10.0
v0_baseline_judge,gemini,q4,baseline,implicit,2,1.0,1.0,1.0,1.0,0.0,4.0
v0_baseline_judge,gemini,q3,baseline,explicit,2,2.0,1.0,2.0,2.0,1.0,8.0
v0_baseline_judge,gemini,q4,weak,explicit,2,2.0,1.5,2.0,2.0,2.0,9.5
v0_baseline_judge,chatgpt,q4,weak,implicit,2,2.0,2.0,2.0,2.0,1.5,9.5
v0_baseline_judge,chatgpt,q3,weak,explicit,2,2.0,2.0,2.0,2.0,1.5,9.5
v0_baseline_judge,gemini,q3,weak,explicit,2,2.0,1.5,2.0,2.0,2.0,9.5
v0_baseline_judge,gemini,q3,conflict,implicit,2,0.0,0.0,0.0,0.0,0.0,0.0
v0_baseline_judge,gemini,q4,baseline,explicit,2,2.0,1.5,2.0,2.0,2.0,9.5
v0_baseline_judge,claude,q3,long,explicit,2,2.0,1.0,2.0,1.5,2.0,8.5
v0_baseline_judge,claude,q4,baseline,implicit,2,0.0,0.0,0.0,0.0,0.0,0.0
v0_baseline_judge,claude,q4,conflict,explicit,2,0.0,0.0,0.0,0.0,0.0,0.0
v0_baseline_judge,chatgpt,q4,weak,explicit,2,2.0,0.5,2.0,2.0,1.5,8.0
v0_baseline_judge,gemini,q4,conflict,explicit,2,2.0,1.5,2.0,2.0,2.0,9.5
v0_baseline_judge,chatgpt,q4,baseline,implicit,2,0.0,0.0,0.0,0.0,0.0,0.0
v0_baseline_judge,gemini,q4,long,explicit,2,2.0,1.5,2.0,2.0,2.0,9.5
v0_baseline_judge,claude,q4,baseline,explicit,2,0.0,0.0,0.0,0.0,0.0,0.0
v0_baseline_judge,claude,q4,long,implicit,2,0.0,0.0,0.0,0.0,0.0,0.0
v0_baseline_judge,claude,q3,long,implicit,2,0.0,0.0,0.0,0.0,0.0,0.0
v0_baseline_judge,gemini,q3,weak,implicit,2,0.0,0.0,0.0,0.0,0.0,0.0
v0_baseline_judge,chatgpt,q4,conflict,implicit,2,2.0,2.0,2.0,2.0,1.5,9.5
v0_baseline_judge,chatgpt,q3,conflict,explicit,2,2.0,2.0,2.0,2.0,2.0,10.0
v0_baseline_judge,chatgpt,q4,long,implicit,2,2.0,1.5,2.0,2.0,1.5,9.0
v0_baseline_judge,gemini,q4,conflict,implicit,2,0.0,0.0,0.0,0.0,0.0,0.0
v0_baseline_judge,chatgpt,q3,baseline,explicit,2,2.0,2.0,2.0,2.0,2.0,10.0
v0_baseline_judge,claude,q3,baseline,explicit,2,2.0,1.0,2.0,1.5,2.0,8.5
v0_baseline_judge,claude,q4,long,explicit,2,0.0,0.0,0.0,0.0,0.0,0.0
v0_baseline_judge,chatgpt,q3,weak,implicit,2,2.0,2.0,2.0,2.0,1.5,9.5
v0_baseline_judge,gemini,q4,long,implicit,2,0.0,0.0,0.0,0.0,0.0,0.0
v0_baseline_judge,claude,q3,conflict,implicit,2,0.0,0.0,0.0,0.0,0.0,0.0
v0_baseline_judge,claude,q3,weak,implicit,2,0.0,0.0,0.0,0.0,0.0,0.0
v0_baseline_judge,gemini,q3,long,explicit,2,2.0,1.5,2.0,2.0,2.0,9.5
v0_baseline_judge,gemini,q3,baseline,implicit,2,0.0,0.0,0.0,0.0,0.0,0.0
v0_baseline_judge,claude,q4,weak,explicit,2,0.0,0.0,0.0,0.0,0.0,0.0
v0_baseline_judge,claude,q4,conflict,implicit,2,0.0,0.0,0.0,0.0,0.0,0.0
v0_baseline_judge,gemini,q3,long,implicit,2,0.0,0.0,0.0,0.0,0.0,0.0
v0_baseline_judge,claude,q3,baseline,implicit,2,0.0,0.0,0.0,0.0,0.0,0.0
v0_baseline_judge,claude,q4,weak,implicit,2,0.0,0.0,0.0,0.0,0.0,0.0
v0_baseline_judge,chatgpt,q3,conflict,implicit,2,2.0,2.0,2.0,2.0,1.5,9.5
v0_baseline_judge,gemini,q4,weak,implicit,2,0.0,0.0,0.0,0.0,0.0,0.0
v0_baseline_judge,chatgpt,q3,baseline,implicit,2,1.0,1.0,1.0,1.0,1.0,5.0
v0_baseline_judge,chatgpt,q3,long,explicit,2,2.0,1.5,2.0,2.0,1.5,9.0
