judge_version,generator_model,question_id,prompt_variant,trigger_type,n,A_structure_mean,B_snapshot_constraint_mean,C_actionability_mean,D_completeness_mean,E_drift_failure_mean,total_mean
v1_paraphrase_judge,chatgpt,q3,baseline,explicit,1,2.0,2.0,2.0,2.0,0.0,
v1_paraphrase_judge,chatgpt,q3,baseline,implicit,1,2.0,0.0,2.0,2.0,0.0,
v1_paraphrase_judge,chatgpt,q3,conflict,explicit,1,2.0,2.0,2.0,2.0,0.0,
v1_paraphrase_judge,chatgpt,q3,conflict,implicit,1,2.0,2.0,2.0,2.0,0.0,
v1_paraphrase_judge,chatgpt,q3,long,explicit,1,2.0,2.0,2.0,2.0,0.0,
v1_paraphrase_judge,chatgpt,q3,long,implicit,1,2.0,2.0,2.0,2.0,0.0,
v1_paraphrase_judge,chatgpt,q3,weak,explicit,1,2.0,2.0,2.0,2.0,0.0,
v1_paraphrase_judge,chatgpt,q3,weak,implicit,1,2.0,2.0,2.0,2.0,0.0,
v1_paraphrase_judge,chatgpt,q4,baseline,explicit,1,2.0,2.0,2.0,2.0,0.0,
v1_paraphrase_judge,chatgpt,q4,baseline,implicit,1,0.0,0.0,0.0,0.0,2.0,
v1_paraphrase_judge,chatgpt,q4,conflict,explicit,1,2.0,2.0,2.0,2.0,0.0,
v1_paraphrase_judge,chatgpt,q4,conflict,implicit,1,2.0,2.0,2.0,2.0,0.0,
v1_paraphrase_judge,chatgpt,q4,long,explicit,1,2.0,2.0,2.0,2.0,0.0,
v1_paraphrase_judge,chatgpt,q4,long,implicit,1,2.0,2.0,2.0,2.0,0.0,
v1_paraphrase_judge,chatgpt,q4,weak,explicit,1,2.0,2.0,2.0,2.0,0.0,
v1_paraphrase_judge,chatgpt,q4,weak,implicit,1,2.0,2.0,2.0,2.0,0.0,
v1_paraphrase_judge,gemini,q3,baseline,explicit,1,2.0,2.0,2.0,2.0,1.0,9.0
v1_paraphrase_judge,gemini,q3,baseline,implicit,1,2.0,2.0,2.0,2.0,1.0,9.0
v1_paraphrase_judge,gemini,q3,conflict,explicit,1,2.0,1.0,2.0,2.0,0.0,7.0
v1_paraphrase_judge,gemini,q3,conflict,implicit,1,2.0,1.0,2.0,2.0,0.0,7.0
v1_paraphrase_judge,gemini,q3,long,explicit,1,2.0,1.0,2.0,2.0,1.0,8.0
v1_paraphrase_judge,gemini,q3,long,implicit,1,2.0,1.0,2.0,2.0,1.0,8.0
v1_paraphrase_judge,gemini,q3,weak,explicit,1,2.0,2.0,1.0,1.0,2.0,8.0
v1_paraphrase_judge,gemini,q3,weak,implicit,1,2.0,2.0,1.0,1.0,2.0,8.0
v1_paraphrase_judge,gemini,q4,baseline,explicit,1,2.0,2.0,2.0,2.0,1.0,9.0
v1_paraphrase_judge,gemini,q4,baseline,implicit,1,2.0,2.0,2.0,2.0,1.0,9.0
v1_paraphrase_judge,gemini,q4,conflict,explicit,1,2.0,1.0,2.0,2.0,0.0,7.0
v1_paraphrase_judge,gemini,q4,conflict,implicit,1,2.0,1.0,2.0,2.0,0.0,7.0
v1_paraphrase_judge,gemini,q4,long,explicit,1,2.0,1.0,2.0,2.0,1.0,8.0
v1_paraphrase_judge,gemini,q4,long,implicit,1,2.0,1.0,2.0,2.0,1.0,8.0
v1_paraphrase_judge,gemini,q4,weak,explicit,1,2.0,2.0,1.0,1.0,2.0,8.0
v1_paraphrase_judge,gemini,q4,weak,implicit,1,2.0,2.0,1.0,1.0,2.0,8.0
